MT,Channel,Label,Area,Mean,Min,Max,IntDen,RawIntDen,TechRep,Day,Biorep
WT,1,190,1.522,25743.919,5199,38828,39179.065,5406223,3,5,5
WT,1,191,1.145,37994.399,5742,65535,43504.76,6003115,3,5,5
WT,1,192,1.297,33315.615,6597,56600,43217.632,5963495,3,5,5
WT,1,193,0.935,17428.992,3756,29382,16293.789,2248340,3,5,5
WT,1,194,0.783,16305.796,4756,30787,12762.21,1761026,3,5,5
WT,1,195,1.015,13017.843,4468,24259,13207.699,1822498,3,5,5
WT,1,196,1.189,26107.201,10597,38880,31028.75,4281581,3,5,5
WT,1,197,1.391,15836.526,3298,27408,22035.416,3040613,3,5,5
WT,1,198,3.312,15936.523,4380,29537,52780.061,7282991,3,5,5
WT,1,199,1.029,15673.655,2133,28508,16129.419,2225659,3,5,5
WT,1,200,0.616,11685.506,6039,19967,7198.244,993268,3,5,5
WT,1,201,1.326,22466.202,4508,38536,29794.827,4111315,3,5,5
WT,1,202,3.21,17456.368,3887,36258,56042.529,7733171,3,5,5
WT,1,203,4.145,20706.649,2948,38795,85835.305,11844203,3,5,5
WT,1,204,1.087,13352.893,3687,22154,14515.325,2002934,3,5,5
WT,1,205,1.051,21170.276,4597,36503,22246.138,3069690,3,5,5
WT,1,206,1.131,20136.859,7217,30811,22765.46,3141350,3,5,5
WT,1,207,1.515,23886.584,131,61429,36179.323,4992296,3,5,5
WT,1,208,1.203,33157.512,5159,52284,39888.723,5504147,3,5,5
WT,1,209,1.065,22690.333,9446,35001,24172.319,3335479,3,5,5
WT,1,210,1.754,15723.752,5836,25569,27576.025,3805148,3,5,5
WT,1,211,1.268,19744.771,143,51844,25040.919,3455335,3,5,5
WT,1,212,1.116,31772.981,1420,63100,35460.005,4893039,3,5,5
WT,1,213,0.913,24620.722,6449,40679,22481.819,3102211,3,5,5
WT,1,214,1.355,26086.155,4417,50559,35351.821,4878111,3,5,5
WT,1,215,2.587,16213.476,4382,28917,41947.344,5788211,3,5,5
WT,1,216,1.435,23938.914,4387,45247,34350.238,4739905,3,5,5
WT,1,217,1.174,15790.698,4008,30368,18538.579,2558093,3,5,5
WT,1,218,1.036,19455.72,2511,45934,20162.457,2782168,3,5,5
WT,1,219,0.986,34186.882,10193,57718,33694.461,4649416,3,5,5
WT,1,220,2.761,23737.194,4669,49473,65541.212,9043871,3,5,5
WT,1,221,1.174,26811.327,6371,45591,31477.008,4343435,3,5,5
WT,1,222,1.254,27776.815,5612,47772,34824.802,4805389,3,5,5
WTBG,1,223,1.094,153.43,109,760,167.899,23168,3,5,5
WTBG,1,224,1.986,144.825,106,1351,287.577,39682,3,5,5
WTBG,1,225,0.551,133.487,108,633,73.521,10145,3,5,5
WTBG,1,226,1.16,137.294,108,888,159.196,21967,3,5,5
WTBG,1,227,1.304,152.044,106,977,198.337,27368,3,5,5
MT12,0,1,0.986,129.346,113,296,127.483,17591,1,5,5
MT12,0,2,1.362,132.261,111,315,180.197,24865,1,5,5
MT12,0,3,1.406,123.021,108,234,172.958,23866,1,5,5
MT12,0,4,2.449,130.618,110,367,319.949,44149,1,5,5
MT12,0,5,0.565,133.923,113,297,75.702,10446,1,5,5
MT12,0,6,2.029,129.489,106,363,262.756,36257,1,5,5
MT12,0,7,1.739,128.933,111,291,224.252,30944,1,5,5
MT12,0,8,1.732,128.088,110,363,221.853,30613,1,5,5
MT12,0,9,1.246,127.424,108,299,158.833,21917,1,5,5
MT12,0,10,2.167,132.084,113,455,286.207,39493,1,5,5
MT12,0,11,1.261,127.845,112,236,161.21,22245,1,5,5
MT12,0,12,1.457,126.542,108,308,184.328,25435,1,5,5
MT12,0,13,2.363,131,112,323,309.492,42706,1,5,5
MT12,0,14,1.971,127.555,109,321,251.436,34695,1,5,5
MT12,0,15,2.674,132.217,114,429,353.568,48788,1,5,5
MT12,0,16,1.58,127.578,105,411,201.554,27812,1,5,5
MT12,0,17,1.783,132.362,112,442,235.971,32561,1,5,5
MT12,0,18,1.971,125.588,107,293,247.559,34160,1,5,5
MT12BG,0,19,1.442,1042.603,108,15160,1503.599,207478,1,5,5
MT12BG,0,20,1.391,131.917,110,324,183.553,25328,1,5,5
MT12BG,0,21,0.87,131.975,109,435,114.771,15837,1,5,5
MT12BG,0,22,1.652,137.189,114,809,226.68,31279,1,5,5
