"agar","tp","strain","pop.x","treatE.x","cycle.x","Length.x","rep.x","pop.y","treatE.y","cycle.y","Length.y","rep.y","relTrans"
3.4,168,"MYb11","5","mono",4,1.13711197511664,"1","17","anc",0,0.933704510108865,"1",1.21784993304151
3.4,168,"MYb11","5","mono",4,1.13711197511664,"1","17","anc",0,0.914094867807154,"1",1.24397588824067
3.4,168,"MYb11","5","mono",4,1.13711197511664,"1","17","anc",0,1.02100311041991,"1",1.11372038293692
3.4,168,"MYb11","4","bi",4,0.835026438569207,"4","17","anc",0,0.933704510108865,"1",0.894315524374888
3.4,168,"MYb11","4","bi",4,0.835026438569207,"4","17","anc",0,0.914094867807154,"1",0.91350084983233
3.4,168,"MYb11","4","bi",4,0.835026438569207,"4","17","anc",0,1.02100311041991,"1",0.817849064363562
3.4,168,"MYb11","4","bi",4,0.952749611197512,"1","17","anc",0,0.933704510108865,"1",1.02039735364074
3.4,168,"MYb11","4","bi",4,0.952749611197512,"1","17","anc",0,0.914094867807154,"1",1.04228745259569
3.4,168,"MYb11","4","bi",4,0.952749611197512,"1","17","anc",0,1.02100311041991,"1",0.933150547215939
3.4,168,"MYb11","5","mono",4,0.891888802488336,"5","17","anc",0,0.933704510108865,"1",0.955215266534749
3.4,168,"MYb11","5","mono",4,0.891888802488336,"5","17","anc",0,0.914094867807154,"1",0.97570704518658
3.4,168,"MYb11","5","mono",4,0.891888802488336,"5","17","anc",0,1.02100311041991,"1",0.873541709507163
3.4,168,"MYb11","13","mono",10,1.43706531881804,"3","17","anc",0,0.933704510108865,"1",1.53910075753033
3.4,168,"MYb11","13","mono",10,1.43706531881804,"3","17","anc",0,0.914094867807154,"1",1.57211835382629
3.4,168,"MYb11","13","mono",10,1.43706531881804,"3","17","anc",0,1.02100311041991,"1",1.40750337011904
3.4,168,"MYb11","7","bi",10,1.30182270606532,"6","17","anc",0,0.933704510108865,"1",1.39425556155184
3.4,168,"MYb11","7","bi",10,1.30182270606532,"6","17","anc",0,0.914094867807154,"1",1.42416586277122
3.4,168,"MYb11","7","bi",10,1.30182270606532,"6","17","anc",0,1.02100311041991,"1",1.27504284049626
3.4,168,"MYb11","7","bi",10,1.41844479004666,"3","17","anc",0,0.933704510108865,"1",1.51915812196438
3.4,168,"MYb11","7","bi",10,1.41844479004666,"3","17","anc",0,0.914094867807154,"1",1.55174789838762
3.4,168,"MYb11","7","bi",10,1.41844479004666,"3","17","anc",0,1.02100311041991,"1",1.38926588525601
3.4,168,"MYb11","5","mono",4,1.1903234836703,"6","17","anc",0,0.933704510108865,"1",1.27483959944834
3.4,168,"MYb11","5","mono",4,1.1903234836703,"6","17","anc",0,0.914094867807154,"1",1.30218812684705
3.4,168,"MYb11","5","mono",4,1.1903234836703,"6","17","anc",0,1.02100311041991,"1",1.16583727465899
3.4,168,"MYb11","13","mono",10,1.42468273716952,"4","17","anc",0,0.933704510108865,"1",1.5258389798325
3.4,168,"MYb11","13","mono",10,1.42468273716952,"4","17","anc",0,0.914094867807154,"1",1.55857207752104
3.4,168,"MYb11","13","mono",10,1.42468273716952,"4","17","anc",0,1.02100311041991,"1",1.39537551122992
3.4,168,"MYb11","13","mono",10,1.97682737169518,"1","17","anc",0,0.933704510108865,"1",2.11718734384681
3.4,168,"MYb11","13","mono",10,1.97682737169518,"1","17","anc",0,0.914094867807154,"1",2.16260635664375
3.4,168,"MYb11","13","mono",10,1.97682737169518,"1","17","anc",0,1.02100311041991,"1",1.93616194850001
3.4,168,"MYb11","7","bi",10,0.881654743390358,"4","17","anc",0,0.933704510108865,"1",0.944254562171454
3.4,168,"MYb11","7","bi",10,0.881654743390358,"4","17","anc",0,0.914094867807154,"1",0.964511206047335
3.4,168,"MYb11","7","bi",10,0.881654743390358,"4","17","anc",0,1.02100311041991,"1",0.863518175794548
