"pop","rep","tp","agar","morphotype","treatE","morphology","morph.simple","Length"
2,2,"24h","34 g/l","MT31","mono","wet+flat","smooth",0.660345256609642
2,2,"24h","34 g/l","MT32","mono","fuzzy","fuzzy",0.634800933125972
2,2,"24h","34 g/l","MT48","anc","anc","anc",0.607604976671851
2,2,"24h","34 g/l","MT8","bi","wrinkly","wrinkly",0.509388802488336
2,2,"24h","34 g/l","MT9","bi","wrinkly","wrinkly",0.627354587869362
2,2,"24h","5 g/l","MT30","mono","anc.var","smooth",2.8523701399689
2,2,"24h","5 g/l","MT31","mono","wet+flat","smooth",0.443603421461897
2,2,"24h","5 g/l","MT32","mono","fuzzy","fuzzy",0.635626749611197
2,2,"24h","5 g/l","MT48","anc","anc","anc",1.8812099533437
2,2,"24h","5 g/l","MT8","bi","wrinkly","wrinkly",0.504237947122862
2,2,"24h","5 g/l","MT9","bi","wrinkly","wrinkly",0.516177293934681
2,2,"3d","34 g/l","MT30","mono","anc.var","smooth",0.884841368584759
2,2,"3d","34 g/l","MT31","mono","wet+flat","smooth",0.802707620528771
2,2,"3d","34 g/l","MT32","mono","fuzzy","fuzzy",1.08499688958009
2,2,"3d","34 g/l","MT48","anc","anc","anc",0.81305132192846
2,2,"3d","34 g/l","MT8","bi","wrinkly","wrinkly",0.679325038880249
2,2,"3d","34 g/l","MT9","bi","wrinkly","wrinkly",0.701272161741835
2,2,"3d","5 g/l","MT30","mono","anc.var","smooth",7.15365629860031
2,2,"3d","5 g/l","MT31","mono","wet+flat","smooth",0.59544167962675
2,2,"3d","5 g/l","MT32","mono","fuzzy","fuzzy",1.06114618973561
2,2,"3d","5 g/l","MT48","anc","anc","anc",4.35280870917574
2,2,"3d","5 g/l","MT8","bi","wrinkly","wrinkly",0.963433903576983
2,2,"3d","5 g/l","MT9","bi","wrinkly","wrinkly",4.0626531881804
2,2,"7d","34 g/l","MT30","mono","anc.var","smooth",1.71937791601866
2,2,"7d","34 g/l","MT31","mono","wet+flat","smooth",1.16083203732504
