Replicate;Typ;Sample;Col;1;2;3;Dilution;Worms;MT;Set
3;W;2;dT;13;4;16;2;20;MTdT;14R+MTdT
3;S;2;dT;4;3;4;1;20;MTdT;14R+MTdT
3;W;3;AL;3;1;2;3;20;MT48;MT48+MTdT
3;S;3;AL;2;5;0;1;20;MT48;MT48+MTdT
3;W;3;dT;2;3;2;3;20;MTdT;MT48+MTdT
3;S;3;dT;0;2;2;1;20;MTdT;MT48+MTdT
3;W;4;AL;0;3;2;3;20;22R;22R+MTdT
3;S;4;AL;5;4;6;1;20;22R;22R+MTdT
3;W;4;dT;2;4;7;3;20;MTdT;22R+MTdT
3;S;4;dT;4;4;7;1;20;MTdT;22R+MTdT
4;W;1;AL;18;17;16;2;20;MT48;MT48+MTdT
4;S;1;AL;7;3;5;1;20;MT48;MT48+MTdT
4;W;1;dT;12;11;15;2;20;MTdT;MT48+MTdT
4;S;1;dT;4;7;5;1;20;MTdT;MT48+MTdT
4;W;2;AL;8;7;10;2;20;22R;22R+MTdT
4;S;2;AL;0;0;3;2;20;22R;22R+MTdT
4;W;2;dT;3;6;2;2;20;MTdT;22R+MTdT
4;S;2;dT;3;4;4;2;20;MTdT;22R+MTdT
4;W;3;AL;2;4;3;3;20;14R;14R+MTdT
4;S;3;AL;11;9;9;1;20;14R;14R+MTdT
4;W;3;dT;2;0;2;3;20;MTdT;14R+MTdT
4;S;3;dT;6;3;5;1;20;MTdT;14R+MTdT
4;W;4;AL;4;6;1;2;20;12R;12R+MTdT
4;S;4;AL;0;0;0;1;20;12R;12R+MTdT
4;W;4;dT;13;13;12;2;20;MTdT;12R+MTdT
4;S;4;dT;1;0;0;1;20;MTdT;12R+MTdT
5;W;1;AL;12;16;8;2;20;22R;22R+MTdT
5;S;1;AL;8;18;10;1;20;22R;22R+MTdT
5;W;1;dT;31;40;40;2;20;MTdT;22R+MTdT
5;S;1;dT;5;13;11;1;20;MTdT;22R+MTdT
5;W;2;AL;1;3;2;2;20;14R;14R+MTdT
5;S;2;AL;1;0;3;1;20;14R;14R+MTdT
5;W;2;dT;2;3;4;2;20;MTdT;14R+MTdT
5;S;2;dT;1;0;1;1;20;MTdT;14R+MTdT
5;W;3;AL;9;7;14;2;20;12R;12R+MTdT
5;S;3;AL;0;1;5;1;20;12R;12R+MTdT
5;W;3;dT;8;12;10;2;20;MTdT;12R+MTdT
5;S;3;dT;5;9;5;1;20;MTdT;12R+MTdT
5;W;4;AL;7;10;29;2;20;MT48;MT48+MTdT
5;S;4;AL;13;1;1;1;20;MT48;MT48+MTdT
5;W;4;dT;22;24;10;2;20;MTdT;MT48+MTdT
5;S;4;dT;4;7;5;1;20;MTdT;MT48+MTdT
6;W;1;AL;1;0;1;3;20;14R;14R+MTdT
6;S;1;AL;0;0;0;1;20;14R;14R+MTdT
6;W;1;dT;9;5;4;3;20;MTdT;14R+MTdT
6;S;1;dT;2;0;0;1;20;MTdT;14R+MTdT
6;W;2;AL;3;8;2;2;20;12R;12R+MTdT
6;S;2;AL;2;0;0;1;20;12R;12R+MTdT
6;W;2;dT;3;4;7;2;20;MTdT;12R+MTdT
6;S;2;dT;3;0;0;1;20;MTdT;12R+MTdT
6;W;3;AL;10;2;2;2;20;MT48;MT48+MTdT
6;S;3;AL;1;0;0;1;20;MT48;MT48+MTdT
6;W;3;dT;11;11;5;2;20;MTdT;MT48+MTdT
6;S;3;dT;2;1;0;1;20;MTdT;MT48+MTdT
6;W;4;AL;27;30;6;2;20;22R;22R+MTdT
6;S;4;AL;0;2;2;1;20;22R;22R+MTdT
6;W;4;dT;10;14;9;2;20;MTdT;22R+MTdT
6;S;4;dT;3;3;1;1;20;MTdT;22R+MTdT
