MT,Channel,Label,Area,Mean,Min,Max,IntDen,RawIntDen,TechRep,Day,Biorep
MT22,1,44,1.652,23734.044,5614,42615,39216.307,5411362,1,5,1
MT22,1,45,1.152,21249.491,2925,39786,24485.319,3378669,1,5,1
MT22,1,46,1.536,25204.123,4881,50226,38722.872,5343274,1,5,1
MT22,1,47,1.022,13520.553,2763,25226,13815.725,1906398,1,5,1
MT22,1,48,1.674,26002.143,3735,53931,43529.255,6006495,1,5,1
MT22,1,49,2.022,20033.602,2338,39799,40506.373,5589375,1,5,1
MT22,1,50,2.007,17425.17,3454,36425,34979.766,4826772,1,5,1
MT22,1,51,1.783,21287.325,2322,40383,37950.396,5236682,1,5,1
MT22,1,52,1.464,21321.05,3750,40044,31211.889,4306852,1,5,1
MT22,1,53,1.891,23804.77,4026,45193,45026.129,6213045,1,5,1
MT22,1,54,1.036,14009.706,3421,25875,14518.615,2003388,1,5,1
MT22,1,55,1.725,22667.706,2053,43790,39097.108,5394914,1,5,1
MT22,1,56,1.942,23003.153,2904,46851,44676.822,6164845,1,5,1
MT22,1,57,2.239,20459.845,3022,38823,45816.396,6322092,1,5,1
MT22,1,58,1.21,17189.06,4013,31236,20803.131,2870573,1,5,1
MT22,1,59,2.732,23969.491,3774,46322,65487.78,9036498,1,5,1
MT22,1,60,2.964,18097.831,2199,36207,53642.617,7402013,1,5,1
MT22,1,61,1.587,22876.781,4562,45821,36307.733,5010015,1,5,1
MT22,1,62,1.638,21608.867,3601,43863,35391.629,4883604,1,5,1
MT22,1,63,1.486,19743.941,2178,37419,29332.415,4047508,1,5,1
MT22,1,64,1.377,17094.084,3358,34774,23537.458,3247876,1,5,1
MT22,1,65,1.261,23970.667,5257,46627,30226.612,4170896,1,5,1
MT22,1,66,1.725,19200.748,3844,36682,33117.322,4569778,1,5,1
MT22,1,67,1.377,26557.332,4334,47129,36567.742,5045893,1,5,1
MT22,1,68,1.297,22982.134,4095,42998,29812.85,4113802,1,5,1
MT22BG,1,69,2.87,155.669,122,873,446.743,61645,1,5,1
MT22BG,1,70,2.899,146.192,119,943,423.785,58477,1,5,1
MT22BG,1,71,3.508,149.895,121,709,525.765,72549,1,5,1
MT22BG,1,72,2.725,146.346,117,808,398.775,55026,1,5,1
MT22BG,1,73,0.377,151.115,121,577,56.947,7858,1,5,1
MT22,0,74,1.906,38470.122,16796,61086,73322.864,10117642,2,5,1
MT22,0,75,2.022,35143.996,16719,54943,71058.406,9805175,2,5,1
MT22,0,76,1.442,27992.663,16715,42154,40369.875,5570540,2,5,1
MT22,0,77,1.16,32882.162,16706,52745,38127.687,5261146,2,5,1
MT22,0,78,1.464,25738.416,16596,36885,37678.473,5199160,2,5,1
MT22,0,79,1.304,25503.3,16235,36024,33268.176,4590594,2,5,1
MT22,0,80,1.587,30380.269,16583,47049,48216.518,6653279,2,5,1
MT22,0,81,1.71,30411.106,16624,50630,52012.093,7177021,2,5,1
MT22,0,82,1.348,37420.333,16771,63025,50440.654,6960182,2,5,1
MT22,0,83,2.044,31633.571,16529,50661,64648.349,8920667,2,5,1
MT22,0,84,1.558,31099.544,16888,46243,48456.562,6686402,2,5,1
MT22,0,85,2.131,40945.571,16717,65226,87239.743,12037998,2,5,1
MT22,0,86,1.189,27862.689,16558,40622,33115.17,4569481,2,5,1
MT22,0,87,2.152,35067.091,16585,54976,75477.29,10414926,2,5,1
MT22,0,88,2.138,30760.169,16531,49167,65761.37,9074250,2,5,1
MT22,0,89,2.094,37492.048,16809,61549,78523.043,10835202,2,5,1
MT22,0,90,1.109,25819.889,16843,40885,28628.982,3950443,2,5,1
MT22,0,91,1.21,36235.042,16519,63895,43853.61,6051252,2,5,1
MT22,0,92,1.761,30455.21,16606,47822,53632.493,7400616,2,5,1
MT22,0,93,1.718,29608.245,16540,44430,50853.532,7017154,2,5,1
MT22,0,94,1.768,30019.865,16632,46277,53083.392,7324847,2,5,1
MT22,0,95,1.957,29504.622,16655,46236,57731.645,7966248,2,5,1
MT22,0,96,2.297,23455.237,16013,32363,53883.921,7435310,2,5,1
MT22,0,97,2.16,38697.795,16543,62912,83572.347,11531943,2,5,1
MT22,0,98,1.428,26789.431,16522,40391,38246.336,5277518,2,5,1
MT22,0,99,1.862,35457.553,16549,60135,66039.228,9112591,2,5,1
MT22,0,100,1.413,31548.487,16558,54210,44583.408,6151955,2,5,1
MT22,0,101,2.319,35564.316,16659,60136,82475.422,11380581,2,5,1
MT22,0,102,1.79,37855.417,16522,61659,67761.826,9350288,2,5,1
MT22,0,103,1.116,30085.416,16588,48454,33576.61,4633154,2,5,1
MT22,0,104,0.652,19479.467,15743,24772,12705.147,1753152,2,5,1
MT22,0,105,2.464,45136.844,16592,65535,111216.755,15346527,2,5,1
MT22,0,106,1.29,26513.067,16681,39935,34201.101,4719326,2,5,1
MT22,0,107,1.341,27583.103,16727,43948,36980.685,5102874,2,5,1
MT22,0,108,1.92,26798.517,16576,40953,51465.565,7101607,2,5,1
MT22,0,109,0.899,20248.806,15557,27820,18196.222,2510852,2,5,1
MT22,0,110,2.421,25915.32,16529,39309,62728.248,8655717,2,5,1
MT22BG,0,111,3.276,157.046,121,505,514.43,70985,2,5,1
MT22BG,0,112,1.826,175.183,126,521,319.927,44146,2,5,1
MT22BG,0,113,1.768,176.484,127,513,312.072,43062,2,5,1
MT22BG,0,114,5.537,188.928,125,631,1046.044,144341,2,5,1
MT22BG,0,115,0.986,187.684,128,488,184.98,25525,2,5,1
MT22,1,74,1.906,19622.483,4237,37233,37399.846,5160713,2,5,1
MT22,1,75,2.022,19554.728,3795,35237,39538.126,5455769,2,5,1
MT22,1,76,1.442,11238.598,2201,21167,16207.847,2236481,2,5,1
MT22,1,77,1.16,15786.744,5416,28132,18305.123,2525879,2,5,1
MT22,1,78,1.464,12639.767,4816,20894,18503.358,2553233,2,5,1
MT22,1,79,1.304,19209.983,7421,32573,25058.762,3457797,2,5,1
MT22,1,80,1.587,14621.667,3787,27276,23206.044,3202145,2,5,1
MT22,1,81,1.71,13109.424,3207,23995,22421.038,3093824,2,5,1
MT22,1,82,1.348,17287.704,2433,34665,23302.922,3215513,2,5,1
MT22,1,83,2.044,14433.135,5229,26203,29496.459,4070144,2,5,1
MT22,1,84,1.558,13354.279,4527,24534,20807.458,2871170,2,5,1
MT22,1,85,2.131,18871.847,2600,35079,40208.868,5548323,2,5,1
MT22,1,86,1.189,9919.805,3542,17901,11789.818,1626848,2,5,1
MT22,1,87,2.152,18124.929,4317,32199,39011.521,5383104,2,5,1
MT22,1,88,2.138,14274.275,2805,28803,30516.602,4210911,2,5,1
MT22,1,89,2.094,13838.356,3146,25912,28982.942,3999285,2,5,1
MT22,1,90,1.109,6774.092,2354,11648,7511.084,1036436,2,5,1
MT22,1,91,1.21,14503.395,4843,26975,17552.794,2422067,2,5,1
MT22,1,92,1.761,15312.815,3693,27428,26966.303,3721014,2,5,1
MT22,1,93,1.718,13308.713,2745,22958,22858.331,3154165,2,5,1
MT22,1,94,1.768,18629.488,5725,33149,32942.067,4545595,2,5,1
MT22,1,95,1.957,13708.415,4478,25471,26823.232,3701272,2,5,1
MT22,1,96,2.297,13410.177,5504,20583,30807.317,4251026,2,5,1
MT22,1,97,2.16,16357.433,2011,32187,35325.761,4874515,2,5,1
MT22,1,98,1.428,9307.193,2765,17474,13287.554,1833517,2,5,1
MT22,1,99,1.862,17586.623,4498,35134,32754.855,4519762,2,5,1
MT22,1,100,1.413,13108.882,3551,24522,18525.092,2556232,2,5,1
MT22,1,101,2.319,13803.566,2694,25237,32011.157,4417141,2,5,1
MT22,1,102,1.79,16328.194,3372,34915,29227.739,4033064,2,5,1
MT22,1,103,1.116,12825.916,2871,23056,14314.27,1975191,2,5,1
MT22,1,104,0.652,6199.556,3305,11229,4043.553,557960,2,5,1
MT22,1,105,2.464,19006.212,3470,34336,46831.125,6462112,2,5,1
MT22,1,106,1.29,8706.309,3295,15728,11230.89,1549723,2,5,1
MT22,1,107,1.341,12486.616,3978,22821,16740.815,2310024,2,5,1
MT22,1,108,1.92,13361.909,3325,23197,25661.055,3540906,2,5,1
MT22,1,109,0.899,8124.968,3487,13767,7301.355,1007496,2,5,1
MT22,1,110,2.421,9307.653,2704,17614,22529.251,3108756,2,5,1
MT22BG,1,111,3.276,152.954,116,862,501.023,69135,2,5,1
MT22BG,1,112,1.826,159.845,122,772,291.918,40281,2,5,1
MT22BG,1,113,1.768,153.086,117,785,270.698,37353,2,5,1
MT22BG,1,114,5.537,163.119,118,1243,903.147,124623,2,5,1
MT22BG,1,115,0.986,184.949,119,1614,182.285,25153,2,5,1
MT22,0,116,1.631,29961.356,20175,41121,48854.445,6741305,3,5,1
MT22,0,117,1.145,36558.095,20325,56135,41860.147,5776179,3,5,1
MT22,0,118,0.652,25957.322,20534,34082,16930.216,2336159,3,5,1
MT22,0,119,0.928,34460.375,19762,59888,31966.131,4410928,3,5,1
MT22,0,120,1.471,30812.522,20191,46257,45329.758,6254942,3,5,1
MT22,0,121,0.051,21046.857,20358,21839,1067.691,147328,3,5,1
MT22,0,122,2.471,38837.469,20114,60262,95976.611,13243577,3,5,1
MT22,0,123,1.507,41606.356,20202,64680,62716.689,8654122,3,5,1
MT22,0,124,1.442,44917.553,20170,65535,64778.259,8938593,3,5,1
MT22,0,125,0.761,30173.257,20223,42134,22959.985,3168192,3,5,1
MT22,0,126,1.065,33177.184,20431,51375,35344.103,4877046,3,5,1
MT22,0,127,1.602,45135.986,20103,65535,72289.517,9975053,3,5,1
MT22,0,128,0.058,21324.75,20458,23079,1236.329,170598,3,5,1
MT22,0,129,0.609,27977.333,20116,39287,17031.218,2350096,3,5,1
MT22,0,130,1.703,36048.753,20193,54631,61392.91,8471457,3,5,1
MT22,0,131,2.036,45129.374,20155,65535,91902.164,12681354,3,5,1
MT22,0,132,1.493,39205.617,20360,60282,58529.608,8076357,3,5,1
MT22,0,133,1.16,40926.319,20222,64563,47455.087,6548211,3,5,1
MT22,0,134,1.239,42367.456,20391,63988,52503.543,7244835,3,5,1
MT22,0,135,0.986,32304.596,20160,46840,31839.287,4393425,3,5,1
MT22,0,136,0.92,32970.85,20724,48878,30345.478,4187298,3,5,1
MT22,0,137,0.065,21785.556,20180,23589,1420.925,196070,3,5,1
MT22,0,138,0.08,21651.636,20919,23178,1726.011,238168,3,5,1
MT22,0,139,1.652,34712.048,20198,52145,57355.517,7914347,3,5,1
